"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","220u","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C3","1","100n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5","1","10u","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1,D2","2","D","","","","Diode_SMD:D_SMA",""
"F1","1","3A","","","","Fuse:Fuse_1812_4532Metric",""
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J2","1","Li-Ion_3.7V","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J3","1","Conn_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J4","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"L1","1","33u","","","","Inductor_SMD:L_10.4x10.4_H4.8",""
"Q1,Q2","2","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf"
"R1,R4,R5","3","100K","","","","Resistor_SMD:R_0805_2012Metric",""
"R2","1","100k","","","","Resistor_SMD:R_0805_2012Metric",""
"R6,R7","2","10K","","","","Resistor_SMD:R_0805_2012Metric",""
"R8","1","1.2K","","","","Resistor_SMD:R_0805_2012Metric",""
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"U1","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U2","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
